"X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"IL11",0,2.67192602053509,0.783,0.604,0,0,"IL11"
"PTGS2",0,1.94219543990336,0.87,0.702,0,0,"PTGS2"
"INHBA",0,1.74194641541983,0.759,0.645,0,0,"INHBA"
"PLAU",0,1.73123821044205,0.914,0.766,0,0,"PLAU"
"LIF",0,1.66486129635798,0.887,0.695,0,0,"LIF"
"CXCL3",0,1.62826363214803,0.99,0.897,0,0,"CXCL3"
"CSF3",0,1.60010316752878,0.754,0.622,0,0,"CSF3"
"TFPI2",0,1.58187867275562,0.907,0.865,0,0,"TFPI2"
"ALKAL2",0,1.50644038649008,0.42,0.157,0,0,"ALKAL2"
"RSPO3",0,1.47285182310982,0.819,0.489,0,0,"RSPO3"
"TNFAIP6",0,1.42446284765466,0.946,0.769,0,0,"TNFAIP6"
"IL6",0,1.42280901139734,0.884,0.841,0,0,"IL6"
"CXCL2",0,1.39980734234238,0.878,0.789,0,0,"CXCL2"
"PAPPA",0,1.27906684580057,0.836,0.707,0,0,"PAPPA"
"PTGES",0,1.25783783949717,0.993,0.86,0,0,"PTGES"
"THBS2",0,1.17990007398955,0.951,0.779,0,0,"THBS2"
"IER3",0,1.15544265542442,0.997,0.984,0,0,"IER3"
"EDNRB",0,1.15031840350503,0.751,0.367,0,0,"EDNRB"
"C11orf96",0,1.13219058954139,0.564,0.248,0,0,"C11orf96"
"PDGFRA",0,1.11021196915765,0.98,0.869,0,0,"PDGFRA"
"CLMP",0,1.10045402084115,0.996,0.941,0,0,"CLMP"
"IL33",0,1.04678958095992,0.84,0.768,0,0,"IL33"
"GEM",0,1.01882449789003,0.754,0.414,0,0,"GEM"
"FGF7",0,0.933627768543908,0.997,0.937,0,0,"FGF7"
"AKAP12",0,0.933120748920648,0.837,0.682,0,0,"AKAP12"
"GNG11",0,0.924230157331456,0.949,0.882,0,0,"GNG11"
"CXCL8",0,0.906323864296517,0.995,0.941,0,0,"CXCL8"
"CYGB",0,0.903536616624422,0.634,0.311,0,0,"CYGB"
"CLU",0,0.88609015168986,0.804,0.766,0,0,"CLU"
"AKR1C1",0,0.881573227682171,0.915,0.794,0,0,"AKR1C1"
"PID1",0,0.866692809329408,0.947,0.793,0,0,"PID1"
"DDIT4",0,0.858412809778829,0.865,0.775,0,0,"DDIT4"
"TMEM158",0,0.838405310441075,0.851,0.829,0,0,"TMEM158"
"CREG1",0,0.831128108261387,0.983,0.875,0,0,"CREG1"
"NFKBIA",0,0.82845130181899,0.985,0.955,0,0,"NFKBIA"
"DUSP1",0,0.820728473145394,0.919,0.873,0,0,"DUSP1"
"MPZL1",0,0.814028876684637,1,0.991,0,0,"MPZL1"
"PDLIM4",0,0.805036704429178,0.994,0.973,0,0,"PDLIM4"
"HOXA5",0,0.777623124386598,0.661,0.497,0,0,"HOXA5"
"NBL1",0,0.77570976885824,0.898,0.834,0,0,"NBL1"
"IGFBP4",0,0.770586849503302,0.893,0.892,0,0,"IGFBP4"
"IGFBP7",0,0.750939320985748,0.894,0.804,0,0,"IGFBP7"
"SOX4",0,0.737337197161084,0.977,0.948,0,0,"SOX4"
"GREM1",0,0.736736854296089,0.266,0.081,0,0,"GREM1"
"PKIG",0,0.728590716539484,0.852,0.767,0,0,"PKIG"
"KCNE4",0,0.712115338519396,0.431,0.165,0,0,"KCNE4"
"INSIG1",0,0.711704097708751,0.767,0.651,0,0,"INSIG1"
"HOXB6",0,0.711434288701918,0.577,0.202,0,0,"HOXB6"
"PGF",0,0.711280919546878,0.468,0.406,0,0,"PGF"
"VEGFA",0,0.707229186214123,0.914,0.86,0,0,"VEGFA"
"CYR61",0,0.705974571683969,0.977,0.944,0,0,"CYR61"
"SERPINB2",0,0.702258432010705,0.908,0.873,0,0,"SERPINB2"
"COL6A2",0,0.701346236431458,0.998,0.957,0,0,"COL6A2"
"GLIS3",0,0.683043276027603,0.865,0.697,0,0,"GLIS3"
"SOCS2",0,0.680308173693261,0.57,0.303,0,0,"SOCS2"
"CTSC",0,0.679346712432418,0.96,0.899,0,0,"CTSC"
"SELENOM",0,0.667207411688651,1,0.991,0,0,"SELENOM"
"GPAT3",0,0.66421440519851,0.533,0.294,0,0,"GPAT3"
"AKR1C2",0,0.647082965634177,0.498,0.335,0,0,"AKR1C2"
"IL1RL1",0,0.643990249469461,0.352,0.135,0,0,"IL1RL1"
"PTGER2",0,0.641682830686645,0.502,0.178,0,0,"PTGER2"
"SMIM3",0,0.641567091642342,0.953,0.854,0,0,"SMIM3"
"TGFBR3",0,0.632174193529088,0.771,0.627,0,0,"TGFBR3"
"RCAN1",0,0.630666025351157,0.836,0.805,0,0,"RCAN1"
