ISG,Detected Cytokines
ADAR,CSF1
B2M,CSF2
BATF2,CSF3
BST2,IFNA1
C1S,IFNA13
CASP1,IFNA17
CASP8,IFNA2
CCRL2,IFNA21
CD47,IFNA4
CD74,IFNA5
CMPK2,IFNA6
CMTR1,IFNA7
CNP,IFNB1
CSF1,IFNE
CXCL10,IFNG
CXCL11,IFNK
DDX60,IFNL1
DHX58,IFNL2
EIF2AK2,IFNL3
ELF1,IFNW1
EPSTI1,IFNA10
GBP2,IFNA14
GBP4,IFNA16
GMPR,IFNA8
HELZ2,IL10
HERC6,IL11
HLA-C,IL12A
IFI27,IL12B
IFI30,IL13
IFI35,IL15
IFI44,IL16
IFI44L,IL17A
IFIH1,IL17B
IFIT2,IL17C
IFIT3,IL17D
IFITM1,IL17F
IFITM2,IL18
IFITM3,IL19
IL15,IL1A
IL4R,IL1B
IL7,IL1F10
IRF1,IL2
IRF2,IL20
IRF7,IL22
IRF9,IL23A
ISG15,IL24
ISG20,IL25
LAMP3,IL26
LAP3,IL27
LGALS3BP,IL3
LPAR6,IL31
LY6E,IL32
MOV10,IL33
MVB12A,IL34
MX1,IL36B
NCOA7,IL36G
NMI,IL37
NUB1,IL4
OAS1,IL5
OASL,IL6
OGFR,IL7
PARP12,IL8
PARP14,IL9
PARP9,IL21
PLSCR1,IL36A
PNPT1,TNFSF10
PROCR,TNFSF11
PSMA3,TNFSF12
PSMB8,TNFSF13
PSMB9,TNFSF13B
PSME1,TNFSF14
PSME2,TNFSF15
RIPK2,TNFSF18
RNF31,TNFSF4
RSAD2,TNFSF8
RTP4,TNFSF9
SAMD9,CXCL1
SAMD9L,CXCL10
SELL,CXCL11
SLC25A28,CXCL12
SP110,CXCL13
STAT2,CXCL14
TAP1,CXCL16
TDRD7,CXCL17
TENT5A,CXCL2
TMEM140,CXCL3
TRAFD1,CXCL5
TRIM14,CXCL6
TRIM21,CXCL9
TRIM25,CCL11
TRIM26,CCL13
TRIM5,CCL14
TXNIP,CCL15
UBA7,CCL16
UBE2L6,CCL17
USP18,CCL18
WARS1,CCL19
,CCL2
,CCL20
,CCL21
,CCL22
,CCL23
,CCL24
,CCL25
,CCL26
,CCL28
,CCL3
,CCL3L1
,CCL3L3
,CCL4
,CCL4L1
,CCL4L2
,CCL5
,CCL7
,CCL8
,CCL1
,TSLP
,LIF
,OSM
,TNF
,LTA
,LTB
,CD40L
,FASL
,CD70
,TGFB1
,MIF
,CX3CL1
